id,time,from_cell_tower,from_number,to_cell_tower,to_number,call_length
pc@co@05@000001,481247,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000002,481382,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000003,481490,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000004,481635,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000005,481865,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000006,482089,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000007,482576,4227.15014,+39 341 79 19 0376,500631.24304,+39 7046 53021325,83
pc@co@05@000008,467898,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000009,467979,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000010,468120,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000011,468243,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000012,468449,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000013,468713,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000014,469158,501865.10855,+39 341 79 19 0376,500631.24304,+39 7046 53021325,98
pc@co@05@000015,475259,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000016,475387,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000017,475541,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000018,475655,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000019,475813,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000020,475973,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000021,476360,4190.15014,+39 341 79 19 0376,500631.24304,+39 7046 53021325,140
pc@co@05@000022,470104,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000023,470281,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000024,470407,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000025,470569,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000026,470769,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000027,470952,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000028,471573,2514.152,+39 341 79 19 0376,500631.24304,+39 7046 53021325,113
pc@co@05@000029,478476,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000030,478582,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000031,478749,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000032,478916,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000033,479216,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000034,479433,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000035,479858,2514.152,+39 341 79 19 0376,500631.24304,+39 7046 53021325,141
pc@co@05@000036,469774,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000037,469875,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000038,469987,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000039,470116,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000040,470332,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000041,470616,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000042,471083,1821.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,143
pc@co@05@000043,466415,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000044,466562,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000045,466690,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000046,466828,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000047,467026,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000048,467256,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000049,467697,1821.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,122
pc@co@05@000050,488724,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000051,488839,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000052,488994,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000053,489069,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000054,489333,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000055,489629,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000056,490232,468.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,148
pc@co@05@000057,486365,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000058,486520,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000059,486592,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000060,486742,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000061,487004,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000062,487252,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000063,487804,26276.12046,+39 341 79 19 0376,500631.24304,+39 7046 53021325,174
pc@co@05@000064,487367,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000065,487483,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000066,487599,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000067,487684,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000068,487893,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000069,488101,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000070,488692,469.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,124
pc@co@05@000071,468589,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000072,468695,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000073,468807,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000074,468878,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000075,469163,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000076,469373,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000077,469988,469.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,85
pc@co@05@000078,475109,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000079,475213,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000080,475343,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000081,475435,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000082,475693,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000083,476002,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000084,476606,21.10014,+39 341 79 19 0376,500631.24304,+39 7046 53021325,138
pc@co@05@000085,476909,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000086,477057,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000087,477196,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000088,477354,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000089,477643,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000090,477888,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000091,478351,469.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,134
pc@co@05@000092,470653,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000093,470741,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000094,470790,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000095,470946,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000096,471169,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000097,471421,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000098,471862,4837.10013,+39 341 79 19 0376,500631.24304,+39 7046 53021325,73
pc@co@05@000099,485289,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@05@000100,485433,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@05@000101,485557,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@05@000102,485711,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@05@000103,485985,501009.24303,+39 192 7198067,500631.24304,+39 015 48 61 3086,0
pc@co@05@000104,486216,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@05@000105,486767,26276.12046,+39 341 79 19 0376,500631.24304,+39 7046 53021325,113
pc@co@05@000106,479373,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@05@000107,479629,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@05@000108,479783,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@05@000109,480123,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@05@000110,480239,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@05@000111,480551,29055.12032,+39 15 42824010,500631.24304,+39 7046 53021325,167
pc@co@05@000112,475003,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@05@000113,475273,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@05@000114,475405,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@05@000115,475652,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@05@000116,475837,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@05@000117,476179,29055.12032,+39 15 42824010,500631.24304,+39 7046 53021325,84
pc@co@05@000118,485710,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@05@000119,485854,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@05@000120,485911,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@05@000121,486230,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@05@000122,486374,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@05@000123,486727,1139.15011,+39 15 42824010,500631.24304,+39 7046 53021325,105
pc@co@05@000124,484543,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@05@000125,484828,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@05@000126,484975,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@05@000127,485260,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@05@000128,485415,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@05@000129,485696,501419.24673,+39 15 42824010,500631.24304,+39 7046 53021325,100
pc@co@05@000130,481472,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@05@000131,481750,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@05@000132,481868,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@05@000133,482251,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@05@000134,482395,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@05@000135,482769,1139.15011,+39 15 42824010,500631.24304,+39 7046 53021325,146
pc@co@05@000136,491379,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@05@000137,491653,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@05@000138,491790,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@05@000139,492113,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@05@000140,492298,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@05@000141,492633,1139.15011,+39 15 42824010,500631.24304,+39 7046 53021325,70
pc@co@05@000142,488371,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@05@000143,488616,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@05@000144,488711,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@05@000145,489033,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@05@000146,489161,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@05@000147,489601,1139.15011,+39 15 42824010,500631.24304,+39 7046 53021325,134
pc@co@05@000148,469437,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@05@000149,469693,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@05@000150,469804,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@05@000151,470223,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@05@000152,470324,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@05@000153,470682,501473.10919,+39 15 42824010,500631.24304,+39 7046 53021325,92
pc@co@05@000154,484411,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@05@000155,484727,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@05@000156,484847,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@05@000157,485391,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@05@000158,485521,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@05@000159,485840,27347.12035,+39 15 42824010,500631.24304,+39 7046 53021325,118
