id,bank_office,phone_number
4111856349063969,2008.1779,"+39 09 7397991"
4639643189032277,3268.1603,"+39 62 2095034"
4359761994450779,7601.1715,"+39 705 0734715"
4198108325782972,3001.1614,"+39 81 32099707"
4954178571453994,1030.1636,"+39 4638 21653669"
4848412031759629,2008.1733,"+39 77 37705458"
4513279611595713,3104.1604,"+39 6698 6568280"
4233728409347850,3002.1624,"+39 763 67576481"
4875209904474997,1025.1666,"+39 015 48 61 3086"
4827073230914814,3069.1746,"+39 90 0691423"
4843145387102763,1030.1645,"+39 53 4733391"
4885835481501162,7601.1658,"+39 3607 7365962"
4955563928303795,3032.1602,"+39 270 1079166"
4336113015565797,5584.1661,"+39 16 2893288"
4796043928064732,2008.9471,"+39 17 7129637"
4340716119015891,6230.1796,"+39 595 67 54 7568"
4670158184088067,5584.1771,"+39 002 68496598"
4975322469422597,5156.1601,"+39 472 30141043"
4614075832176228,3069.9559,"+39 5836 7806127"
4628056044434443,5387.1602,"+39 4631 6685958"
4934665354947593,3223.1608,"+39 81 82873673"
4883472282692321,3069.9456,"+39 49 0770105"
4861799370600154,7601.1631,"+39 9881 9142602"
4736604319764504,3069.9525,"+39 1208 9773555"
4501056311323370,2008.1635,"+39 40 98662764"
4253671416768509,2008.1779,"+39 845 51661362"
4049012176699619,7601.1704,"+39 027 49 48 7873"
4772006195851311,3002.1611,"+39 58 63351106"
4695092146844401,5048.1657,"+39 9482 20813639"
4681462035205194,2002.1602,"+39 957 94 31 4033"
4807380790333101,3069.9445,"+39 9827 5364145"
4913116836059545,5164.1625,"+39 794 33865438"
4601742002512525,5048.1797,"+39 426 85351175"
4503314899089725,7601.1638,"+39 802 22111374"
4516553509789597,7601.1666,"+39 618 22 86 1889"
4631036508248542,3556.1616,"+39 320 92 09 5289"
4385079689850262,6230.9562,"+39 93 57947331"
4561989080566505,5040.1620,"+39 683 97 43 2937"
4484620199819881,5748.1601,"+39 363 61678857"
4402755576124205,5387.1603,"+39 521 89 21 4057"
4883962281011663,6230.9503,"+39 65 54243252"
4150136699564292,5696.1635,"+39 0500 08948706"
4736543798903706,1025.1669,"+39 4812 9485723"
4570026161916561,3139.1600,"+39 603 34 45 3331"
4900952662681803,7601.1606,"+39 885 51801011"
4501904854578282,5024.1603,"+39 774 26520073"
4817132608705253,5387.1602,"+39 00 83459166"
4517322653421236,3069.1609,"+39 4210 1286877"
4823470486266598,6230.9562,"+39 0722 0860907"
4598527976302580,6230.1625,"+39 7992 81580476"
4164235388116929,3226.1608,"+39 3884 9838071"
4214252635622799,3268.1604,"+39 4993 4060966"
4480776671693550,3001.1622,"+39 558 6292314"
4782227591852186,7601.1712,"+39 651 56101346"
4700627699030065,5040.1788,"+39 46 2108534"
4885603280410716,7601.1664,"+39 45 0562343"
4484493781925882,7601.1725,"+39 0850 21111175"
4861466767406146,5748.1601,"+39 924 5987944"
4058060194469083,3069.9554,"+39 7332 5589802"
4049876650477423,1030.1630,"+39 8831 2591041"
4205044034087562,1030.1654,"+39 2752 0833954"
4947817636944683,3069.9540,"+39 552 0178661"
4622659819171854,3069.9451,"+39 30 60371520"
