id,imei,imsi,iccid
"+39 341 79 19 0376",756649911144855,222857998578957,45050126052205650207649
"+39 15 42824010",837218968600913,222577358279697,13715454063946266684758
"+39 56 46256015",468629822875895,222245630171537,46789446514701711185469
"+39 7046 53021325",013539473534420,222528017167729,73610805651992230602253
"+39 2734 25221766",366671316633755,222418614133858,84487167143373418112126
"+39 36 9136644",780807469243244,222489075012296,07565048700814904806872
"+39 427 64164824",772461431405893,222489804675290,07472740528674270742885
"+39 4497 1282712",520828611702916,222673792021570,95780934413381119010115
"+39 144 2331628",427400815010365,222359362628061,46173969220936400080882
"+39 712 24 13 3641",537664214212362,222024171754880,37800167012614139333145
"+39 131 28915338",696602730812346,222115357454336,17254717406102303659296
"+39 26 5111288",415216545156243,222892683858457,80966360572535271733359
"+39 61 94700466",991296746961791,222373150360164,69534269753652105265019
"+39 957 32258265",743372330265807,222905987086255,74785264559964339805277
"+39 404 26348858",544478278514451,222317911973124,64333225790726577274112
"+39 783 97680870",972329223675239,222089650824591,43147554092260137218052
"+39 2705 1870577",144414984187138,222847765013514,16741430676719353702951
"+39 0016 3654467",927789474118146,222400448003891,84788642759172980027479
"+39 914 82 20 2929",955529355003339,222628201731779,18486200437083164948788
"+39 8418 10512610",740764919921706,222020471112859,63165551041435449191196
"+39 6610 1142053",990735772525708,222055572969081,84642259067458224755256
"+39 617 87965253",919838703855620,222902155842473,60319474563695230139134
"+39 311 2800298",813381120331773,222433130136007,34062241133246846510520
"+39 117 43 48 9429",225985182686098,222191486736187,90371080019664459566846
"+39 5674 91484479",983023036055575,222757448281628,23579058165993584150310
"+39 30 91663781",088609256530935,222303703782612,21060852858430335940929
"+39 956 60006521",512058243589982,222402397445208,13138946939459005955519
"+39 425 65760596",984112966385901,222458722565621,95665008247037374608937
"+39 878 03 08 7271",181032368509760,222269540311241,46866105625402069859631
"+39 93 2663951",264058842429895,222496967830663,36636532216520047985945
"+39 81 3975358",894451855459297,222326257193427,13742814254921161658505
"+39 17 13918662",873266619734032,222456352253483,58622758829681171387744
"+39 5631 99738137",411009587727201,222009982009253,45221436582986052677515
"+39 7508 55281242",912107118569276,222424745439870,09320557899481711250497
"+39 0839 35596527",875278548119696,222430999310564,35492915428149653254499
"+39 170 29851380",836564854212995,222859529959083,24910528235180731565947
"+39 3669 82004384",639913431187981,222275426846166,67148933216795409592010
"+39 913 35 48 3992",804291847452904,222198463354449,45332628462072484537099
"+39 82 19869845",613068184767818,222151980456570,97402720116108532649196
"+39 5103 8172670",819787321082607,222574165883108,35105790738157288289252
"+39 5001 8818483",256224487155373,222744296743961,62311213195381537161921
"+39 140 75 60 0837",906871520596809,222238809964176,68749092467479089362166
"+39 1573 5529903",811797572232189,222775439161245,58206734557992816350366
"+39 833 82 90 1785",268807366785264,222567088198420,46054793527014983779599
